127.0.0.1 - - [26/Jul/2017:09:09:00 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/ HTTP/1.1" 200 17811
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/css/icomoon.css HTTP/1.1" 200 26314
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/css/magnific-popup.css HTTP/1.1" 200 8301
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/modernizr-2.6.2.min.js HTTP/1.1" 200 15416
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/css/animate.css HTTP/1.1" 200 74413
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/css/style.css HTTP/1.1" 200 178901
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/css/salvattore.css HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/jquery.min.js HTTP/1.1" 200 84384
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/jquery.waypoints.min.js HTTP/1.1" 200 8841
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/jquery.magnific-popup.min.js HTTP/1.1" 200 20935
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/jquery.easing.1.3.js HTTP/1.1" 200 8315
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/salvattore.min.js HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/main.js HTTP/1.1" 200 2561
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:02 +0900] "GET /FinalProject/fonts/icomoon/icomoon.ttf?srf3rx HTTP/1.1" 200 104004
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/css/icomoon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/css/salvattore.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/load.do HTTP/1.1" 200 26052
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/css/slideStyle.css HTTP/1.1" 200 7175
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/images/img_1.jpg HTTP/1.1" 200 8131
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/js/modernizr.custom.04022.js HTTP/1.1" 200 6928
0:0:0:0:0:0:0:1 - - [26/Jul/2017:09:09:04 +0900] "GET /FinalProject/images/grid.png HTTP/1.1" 200 166
